Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,DHI,DNI,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Wind Speed,
2017,1,1,0,0,-0.6000000000000001,0,0,0,-2.6,0,0,0,86.29,152.92000000000002,0.12,1003,1.7000000000000002,N/A
2017,1,1,0,15,-0.6000000000000001,0,0,0,-2.6,0,0,0,86.29,150.22,0.12,1003,1.7000000000000002,N/A
2017,1,1,0,30,-0.6000000000000001,0,0,0,-2.6,0,0,0,86.29,147.43,0.12,1003,1.7000000000000002,N/A
2017,1,1,0,45,-0.6000000000000001,0,0,0,-2.7,0,0,0,85.54,144.6,0.12,1003,1.6,N/A
2017,1,1,1,0,-0.7000000000000001,0,0,0,-2.7,0,0,0,86.17,141.71,0.12,1003,1.6,N/A
2017,1,1,1,15,-0.7000000000000001,0,0,0,-2.7,0,0,0,86.08,138.8,0.12,1002,1.7000000000000002,N/A
2017,1,1,1,30,-0.7000000000000001,0,0,0,-2.7,0,0,0,86.08,135.87,0.12,1002,1.7000000000000002,N/A
2017,1,1,1,45,-0.7000000000000001,0,0,0,-2.8000000000000003,0,0,0,85.63,132.93,0.12,1002,1.7000000000000002,N/A
2017,1,1,2,0,-0.8,0,0,0,-2.8000000000000003,0,0,0,86.25,129.98,0.12,1002,1.7000000000000002,N/A
2017,1,1,2,15,-0.8,0,0,0,-2.8000000000000003,0,0,0,86.25,127.02,0.12,1002,1.7000000000000002,N/A
2017,1,1,2,30,-0.9,0,0,0,-2.8000000000000003,0,0,0,86.89,124.08,0.12,1002,1.8,N/A
2017,1,1,2,45,-0.9,0,0,0,-2.8000000000000003,0,0,0,86.86,121.13,0.12,1002,1.8,N/A
2017,1,1,3,0,-1,0,0,0,-2.8000000000000003,0,0,0,87.49,118.21000000000001,0.12,1002,1.8,N/A
2017,1,1,3,15,-1,0,0,0,-2.8000000000000003,0,0,0,87.49,115.29,0.12,1002,1.9000000000000001,N/A
2017,1,1,3,30,-1.1,0,0,0,-2.8000000000000003,0,0,0,88.14,112.4,0.12,1002,1.9000000000000001,N/A
2017,1,1,3,45,-1.1,0,0,0,-2.8000000000000003,0,0,0,88.13,109.52,0.12,1002,1.9000000000000001,N/A
2017,1,1,4,0,-1.1,0,0,0,-2.8000000000000003,0,0,0,88.13,106.68,0.12,1002,2,N/A
2017,1,1,4,15,-1.2000000000000002,0,0,0,-2.8000000000000003,0,0,0,88.77,103.86,0.12,1002,2,N/A
2017,1,1,4,30,-1.2000000000000002,0,0,0,-2.8000000000000003,0,0,0,88.77,101.08,0.12,1002,2,N/A
2017,1,1,4,45,-1.2000000000000002,0,0,0,-2.8000000000000003,0,0,0,88.58,98.34,0.12,1002,2.1,N/A
2017,1,1,5,0,-1.2000000000000002,0,0,0,-2.8000000000000003,0,0,0,88.67,95.64,0.12,1003,2.1,N/A
2017,1,1,5,15,-0.8,0,0,0,-2.8000000000000003,0,0,0,86.11,92.98,0.12,1003,2.2,N/A
2017,1,1,5,30,-0.4,0,0,0,-2.8000000000000003,0,0,0,83.64,89.82000000000001,0.12,1003,2.3000000000000003,N/A
2017,1,1,5,45,0.1,17,237,27,-2.4000000000000004,9,0,9,83.23,87.56,0.12,1003,2.4000000000000004,N/A
2017,1,1,6,0,0.5,28,373,59,-2.4000000000000004,21,0,21,80.86,85.18,0.12,1003,2.6,N/A
2017,1,1,6,15,0.9,37,484,97,-2.4000000000000004,36,0,36,78.56,82.83,0.12,1003,2.6,N/A
2017,1,1,6,30,1.3,44,565,137,-2.4000000000000004,44,565,137,76.34,80.52,0.12,1003,2.6,N/A
2017,1,1,6,45,1.8,50,634,178,-2.3000000000000003,50,634,178,74.36,78.3,0.12,1003,2.6,N/A
2017,1,1,7,0,2.2,55,685,219,-2.3000000000000003,55,685,219,72.27,76.16,0.12,1003,2.7,N/A
2017,1,1,7,15,2.6,59,727,258,-2.3000000000000003,103,24,109,70.25,74.11,0.12,1003,2.6,N/A
2017,1,1,7,30,3,63,760,295,-2.3000000000000003,63,760,295,68.29,72.18,0.12,1003,2.5,N/A
2017,1,1,7,45,3.4000000000000004,65,794,331,-2.1,65,794,331,67.41,70.37,0.12,1003,2.4000000000000004,N/A
2017,1,1,8,0,3.8000000000000003,67,817,364,-2.1,67,817,364,65.54,68.69,0.12,1003,2.3000000000000003,N/A
2017,1,1,8,15,4.3,70,836,395,-2.1,70,836,395,63.29,67.14,0.12,1003,2.2,N/A
2017,1,1,8,30,4.7,72,852,422,-2.1,72,852,422,61.54,65.75,0.12,1003,2,N/A
2017,1,1,8,45,5.2,76,856,444,-2.3000000000000003,76,856,444,58.29,64.52,0.12,1003,1.9000000000000001,N/A
2017,1,1,9,0,5.7,78,867,465,-2.3000000000000003,78,867,465,56.25,63.46,0.12,1002,1.8,N/A
2017,1,1,9,15,5.9,79,875,482,-2.3000000000000003,79,875,482,55.480000000000004,62.58,0.12,1002,1.7000000000000002,N/A
2017,1,1,9,30,6.2,80,882,495,-2.3000000000000003,80,882,495,54.34,61.88,0.12,1002,1.6,N/A
2017,1,1,9,45,6.5,79,890,505,-2.7,79,890,505,51.980000000000004,61.39,0.12,1002,1.5,N/A
2017,1,1,10,0,6.7,80,892,511,-2.7,80,892,511,51.27,61.08,0.12,1002,1.4000000000000001,N/A
2017,1,1,10,15,6.9,80,893,513,-2.7,80,893,513,50.57,60.980000000000004,0.12,1002,1.4000000000000001,N/A
2017,1,1,10,30,7,79,892,511,-2.7,79,892,511,50.18,61.09,0.12,1001,1.4000000000000001,N/A
2017,1,1,10,45,7.1000000000000005,78,892,506,-2.8000000000000003,78,892,506,49.5,61.39,0.12,1001,1.5,N/A
2017,1,1,11,0,7.300000000000001,78,888,496,-2.8000000000000003,78,888,496,48.83,61.9,0.12,1001,1.5,N/A
2017,1,1,11,15,7.300000000000001,77,881,483,-2.8000000000000003,77,881,483,48.83,62.6,0.12,1001,1.5,N/A
2017,1,1,11,30,7.300000000000001,76,873,466,-2.8000000000000003,76,873,466,48.83,63.480000000000004,0.12,1001,1.6,N/A
2017,1,1,11,45,7.300000000000001,76,856,444,-2.6,76,856,444,49.34,64.55,0.12,1001,1.6,N/A
2017,1,1,12,0,7.300000000000001,75,842,420,-2.6,75,842,420,49.34,65.78,0.12,1001,1.7000000000000002,N/A
2017,1,1,12,15,7.2,73,826,393,-2.6,73,826,393,49.68,67.18,0.12,1001,1.7000000000000002,N/A
2017,1,1,12,30,7,70,806,363,-2.6,70,806,363,50.31,68.72,0.12,1000,1.6,N/A
2017,1,1,12,45,6.800000000000001,67,783,330,-1.6,67,783,330,55.160000000000004,70.41,0.12,1000,1.6,N/A
2017,1,1,13,0,6.7,64,754,294,-1.6,64,754,294,55.54,72.23,0.12,1000,1.6,N/A
2017,1,1,13,15,6.1000000000000005,60,720,257,-1.6,60,720,257,57.88,74.16,0.12,1000,1.6,N/A
2017,1,1,13,30,5.5,56,677,217,-1.6,56,677,217,60.33,76.2,0.12,1000,1.6,N/A
2017,1,1,13,45,4.9,51,626,177,-1.8,51,626,177,61.81,78.35000000000001,0.12,1000,1.6,N/A
2017,1,1,14,0,4.3,45,560,136,-1.8,45,560,136,64.46000000000001,80.58,0.12,1000,1.6,N/A
2017,1,1,14,15,4,37,476,96,-1.8,37,476,96,65.82000000000001,82.88,0.12,1000,1.6,N/A
2017,1,1,14,30,3.6,28,365,59,-1.8,28,365,59,67.77,85.24,0.12,1001,1.7000000000000002,N/A
2017,1,1,14,45,3.3000000000000003,18,223,27,-2.6,9,0,9,65.4,87.62,0.12,1001,1.7000000000000002,N/A
2017,1,1,15,0,3,0,0,0,-2.6,0,0,0,66.8,89.88,0.12,1001,1.7000000000000002,N/A
2017,1,1,15,15,2.9000000000000004,0,0,0,-2.6,0,0,0,67.27,93.04,0.12,1001,1.7000000000000002,N/A
2017,1,1,15,30,2.8000000000000003,0,0,0,-2.6,0,0,0,67.75,95.7,0.12,1001,1.7000000000000002,N/A
2017,1,1,15,45,2.7,0,0,0,-2.6,0,0,0,68.18,98.4,0.12,1001,1.7000000000000002,N/A
